Date,Close,chg,nextWeekChg,signal,predictChg,PredClose,Predict,d_0,d_1,d_2,d_3,d_4,sum
2015-10-27,204.8000030517578,0.001956992011829639,0.9755859378637979,False,1.0047163,205.76589662083825,1,1,1.0,1.0,1.0,1.0,5.0
2015-10-28,203.60000610351562,-0.005859360011527537,1.0275048657998536,True,1.0047363,204.56431768447146,1,1,1.0,1.0,1.0,1.0,5.0
2015-10-29,204.39999389648438,0.003929213010740451,1.0264188322726087,True,1.0044978,205.3193373405593,1,1,1.0,1.0,1.0,1.0,5.0
2015-10-30,203.8000030517578,-0.002935376040326232,1.0421981880075952,True,1.0043025,204.67685290695954,1,1,1.0,1.0,1.0,1.0,5.0
2015-11-02,198.8000030517578,-0.024533856354899908,1.0694165132792526,True,1.0027734,199.35135579955568,1,1,1.0,1.0,1.0,1.0,5.0
2015-11-03,199.8000030517578,0.005030181009301415,1.0610610448543478,True,0.9999471,199.7894278524691,0,0,1.0,1.0,1.0,1.0,4.0
2015-11-04,209.1999969482422,0.04704701578032178,1.002868098050996,True,0.9970883,208.59087205821743,0,0,0.0,1.0,1.0,1.0,3.0
2015-11-05,209.8000030517578,0.002868098050996082,1.0190657766530784,True,0.99565834,208.88912236557644,0,0,0.0,0.0,1.0,1.0,2.0
2015-11-06,212.39999389648438,0.012392711186401284,0.9905838038725427,False,0.9943444,211.1987473117788,0,0,0.0,0.0,0.0,1.0,1.0
2015-11-09,212.60000610351562,0.0009416770846459865,0.9736594264217049,False,0.9944702,211.42436614237704,0,0,0.0,0.0,0.0,0.0,0.0
2015-11-10,212.0,-0.00282222994492054,0.9839622929411114,False,0.9957483,211.09863567352295,0,0,0.0,0.0,0.0,0.0,0.0
2015-11-11,209.8000030517578,-0.010377344095481966,0.9780743277568934,False,0.9967115,209.11007417628934,0,0,0.0,0.0,0.0,0.0,0.0
2015-11-12,213.8000030517578,0.019065776653078403,0.9728718289571132,False,0.9965804,213.06889724879966,0,0,0.0,0.0,0.0,0.0,0.0
2015-11-13,210.39999389648438,-0.01590275541039321,1.0019011842532193,True,0.9957238,209.5002780698469,0,0,0.0,0.0,0.0,0.0,0.0
2015-11-16,207.0,-0.016159667277163337,1.0164250912873642,True,0.99334335,205.62207412719727,0,0,0.0,0.0,0.0,0.0,0.0
