Date,0002.HK,0003.HK,0012.HK,0017.HK,1398.HK,3988.HK,0669.HK,2382.HK,1299.HK,0388.HK
2011-01-03,63.95000076293945,7.100989818572998,27.83882713317871,51.0715217590332,5.849999904632568,4.150000095367432,10.279999732971191,2.180000066757202,22.25,179.8000030517578
2011-01-04,63.59999847412109,7.116376876831055,28.27501106262207,52.23223876953125,5.929999828338623,4.179999828338623,10.279999732971191,2.2100000381469727,22.549999237060547,185.6000061035156
2011-01-05,63.900001525878906,7.108683109283447,28.17238044738769,52.98329162597656,5.949999809265137,4.150000095367432,10.859999656677246,2.1700000762939453,22.450000762939453,185.6000061035156
2011-01-06,64.19999694824219,7.008668899536133,29.04474830627441,53.3929557800293,5.909999847412109,4.159999847412109,11.279999732971191,2.180000066757202,22.299999237060547,184.8000030517578
2011-01-07,64.19999694824219,7.008668899536133,29.04474830627441,53.3929557800293,5.869999885559082,4.159999847412109,11.279999732971191,2.180000066757202,22.299999237060547,184.8000030517578
2011-01-10,64.0,6.954815864562988,28.736854553222656,53.32467651367188,5.809999942779541,4.130000114440918,10.619999885559082,2.240000009536743,21.75,182.1999969482422
2011-01-11,64.55000305175781,7.0240559577941895,29.19869613647461,54.6219482421875,5.889999866485596,4.159999847412109,10.479999542236328,2.2300000190734863,21.700000762939453,182.8000030517578
2011-01-12,64.6500015258789,7.016363143920898,29.2500114440918,55.236446380615234,5.929999828338623,4.230000019073486,10.699999809265137,2.2699999809265137,21.450000762939453,188.8000030517578
2011-01-13,64.44999694824219,6.985589027404785,28.788169860839844,55.099891662597656,6.019999980926514,4.28000020980835,10.34000015258789,2.25,21.75,189.1000061035156
2011-01-14,64.0,6.939428806304932,28.403301239013672,54.007450103759766,6.079999923706055,4.300000190734863,10.039999961853027,2.4600000381469727,21.399999618530277,187.3000030517578
2011-01-17,64.05000305175781,6.939428806304932,28.531591415405277,54.34883880615234,6.0,4.239999771118164,10.220000267028809,2.319999933242798,21.200000762939453,185.5
2011-01-18,64.25,6.985589027404785,28.60856437683105,54.007450103759766,6.0,4.239999771118164,10.18000030517578,2.3399999141693115,21.149999618530277,184.5
2011-01-19,64.5,7.0240559577941895,28.736854553222656,54.69022750854492,6.039999961853027,4.289999961853027,10.68000030517578,2.390000104904175,21.75,186.6000061035156
2011-01-20,64.0999984741211,6.977896213531494,28.37764358520508,54.28056335449219,5.949999809265137,4.179999828338623,10.260000228881836,2.359999895095825,21.75,183.1000061035156
2011-01-21,64.1500015258789,6.947122097015381,28.0184326171875,53.66606521606445,5.889999866485596,4.170000076293945,10.039999961853027,2.4800000190734863,21.600000381469727,182.1999969482422
2011-01-24,64.0999984741211,6.893269062042236,28.09540557861328,52.23223876953125,5.869999885559082,4.110000133514404,9.699999809265137,2.380000114440918,21.899999618530277,179.60000610351562
2011-01-25,63.79999923706055,6.893269062042236,28.06974983215332,52.300514221191406,5.860000133514404,4.090000152587891,9.390000343322754,2.3499999046325684,21.799999237060547,180.0
2011-01-26,63.900001525878906,6.87788200378418,28.044090270996094,52.09568405151367,5.860000133514404,4.099999904632568,9.4399995803833,2.359999895095825,21.700000762939453,180.0
2011-01-27,63.84999847412109,6.854802131652832,27.94145965576172,51.75429534912109,5.829999923706055,4.059999942779541,9.59000015258789,2.309999942779541,21.899999618530277,179.10000610351562
2011-01-28,63.79999923706055,6.862494945526123,27.91580009460449,51.00324630737305,5.800000190734863,4.050000190734863,9.420000076293944,2.309999942779541,21.649999618530277,178.3000030517578
2011-01-31,63.25,6.7855610847473145,27.736196517944336,50.38874816894531,5.800000190734863,4.050000190734863,9.699999809265137,2.289999961853028,21.450000762939453,178.8000030517578
2011-02-01,63.900001525878906,6.816335201263428,27.710538864135746,50.457027435302734,5.789999961853027,4.050000190734863,9.619999885559082,2.299999952316284,21.5,177.60000610351562
2011-02-02,64.3499984741211,6.9625091552734375,28.06974983215332,51.41291046142578,5.869999885559082,4.110000133514404,9.800000190734863,2.2699999809265137,21.600000381469727,180.6999969482422
2011-02-07,63.29999923706055,6.839415073394775,27.479616165161133,50.32047271728516,5.78000020980835,4.039999961853027,10.0600004196167,2.299999952316284,22.0,179.0
2011-02-08,63.34999847412109,6.847107887268066,26.91514205932617,49.29631042480469,5.820000171661377,4.039999961853027,10.520000457763672,2.390000104904175,22.399999618530277,179.39999389648438
2011-02-09,63.04999923706055,6.762481212615967,26.17106437683105,47.24798583984375,5.739999771118164,3.9600000381469727,10.079999923706056,2.380000114440918,22.049999237060547,176.3000030517578
2011-02-10,62.34999847412109,6.685546875,25.555273056030277,46.7700424194336,5.639999866485596,3.910000085830689,9.619999885559082,2.309999942779541,22.049999237060547,167.6999969482422
2011-02-11,62.45000076293945,6.6009202003479,25.52961540222168,47.79420471191406,5.679999828338623,3.900000095367432,9.43000030517578,2.289999961853028,22.450000762939453,168.89999389648438
2011-02-14,62.59999847412109,6.593226909637451,25.5809326171875,47.79420471191406,5.789999961853027,3.990000009536743,9.869999885559082,2.319999933242798,22.399999618530277,169.39999389648438
2011-02-15,62.650001525878906,6.685546875,25.1704044342041,47.24798583984375,5.71999979019165,3.9600000381469727,10.100000381469728,2.359999895095825,22.450000762939453,168.5
2011-02-16,62.79999923706055,6.739400863647461,25.50395774841309,47.58937454223633,5.769999980926514,4.019999980926514,10.0,2.400000095367432,22.149999618530277,167.5
2011-02-17,62.5,6.662467002868652,25.65790557861328,47.31626510620117,5.820000171661377,4.050000190734863,10.0,2.5199999809265137,21.850000381469727,166.5
